,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,lyrics
103,104,Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,72,80,-5,19,53,227,56,33,7,"

[Pre-Hook]
Oh no, we don't play with silly girls
All I know is the material girls
Give me the muny, the cars, the Case loads
The mun-mun-muny, the yen and the pesos

[Hook]
The mun-mun-muny, the mun-mun-muny
The mun-mun-muny, yen and the pesos
The mun-mun-muny, the mun-mun-muny
The mun-mun-muny, yen and the pesos
The mun-mun-muny, the mun-mun-muny
The mun-mun-muny, yen and the pesos
The mun-mun-muny, the mun-mun-muny
The mun-mun-mun-mun-muny, the mun-mun-mun-mun-muny

[Verse 1]
Told y'all on Drake's shit, told y'all to fixate
Bitches want my old shit, buy my old mixtape
I ain't fuckin' with you bum bitches no more
Always in the club lookin' like a bozo
Talkin' 'bout money, we could have a conversation
Top five tax bracket in the population
Hatin' and I know they got a reason why
I ain't got to wonder if I want to lease or buy
And I dictate, how I'm gonna piece the pie
I ain't talkin' about no muthafuckin' pizza pie
'Cause I keep a bad bitch, booty big and the waist thin
Seen his little weiner, but we don't like Nathans
Nah, homie you gon' need a bigger cock-pit
'Cause when I fly, I be right behind the cockpit

[Break 1]
Aye, yo captain, aye yo cap
I-I don't wanna hear that navigation, big pa
I'm tryin', I'm tryin' to get some sleep, ya dig?

[Pre-Hook]
Oh no, we don't play with silly girls
All I know is the material girls
Give me the muny, the cars, the Case loads
The mun-mun-muny, the yen and the pesos

[Hook]
The mun-mun-muny, the mun-mun-muny
The mun-mun-muny, yen and the pesos
The mun-mun-muny, the mun-mun-muny
The mun-mun-muny, yen and the pesos
The mun-mun-muny, the mun-mun-muny
The mun-mun-muny, yen and the pesos
The mun-mun-muny, the mun-mun-muny
The mun-mun-mun-mun-muny, the mun-mun-mun-mun-muny

[Verse 2]
I'm in the UK, but just for one day
Who's to say I won't come back again?
Materialistic, I'm narcissistic
My shoe game is mean, it's so sadistic
I took a Learjet to cop some lipstick
Yeah, I'mma risk it, I'm optimistic
I sip on Ros?, you sip your Mystic
My flow's a 'biscuit, short of a picnic
Okay, Versace Pythons, Louis aviators
Balenciagas and they gotta be the gladiators
Chanel lambskin, vintage Vanson
I'm on the bike, doin' wheelies in a mansion
A lot of bad bitches, on the pole dancin'
Gucci bag, just to put the coke cans in

[Break 2]
Hey, yo, Anna, hey yo Anna Wintour
I'ma need that cover baby girl
It's Pink Friday, ya dig?

[Pre-Hook]
Oh no, we don't play with silly girls
All I know is the material girls
Give me the muny, the cars, the Case loads
The mun-mun-muny, the yen and the pesos

[Hook]
The mun-mun-muny, the mun-mun-muny
The mun-mun-muny, yen and the pesos
The mun-mun-muny, the mun-mun-muny
The mun-mun-muny, yen and the pesos
The mun-mun-muny, the mun-mun-muny
The mun-mun-muny, yen and the pesos
The mun-mun-muny, the mun-mun-muny
The mun-mun-mun-mun-muny, the mun-mun-mun-mun-muny

[Bridge]
Material, I?? always on that new shit
Material, this shit is exclusive
Material, material world for material girls, girls, girls, girls
Material, don?? ever get the truth bent
Material, I could give you the blueprint
Material, material world for material girls, girls, girls, girls

[Outro]
Material, material, ma-ma-material
Material, material, ma-ma-material
Material, material, ma-ma-material girls, girls, girls, girls
Material, material, ma-ma-material
Material, material, ma-ma-material
Material, material, ma-ma-material girls

"
104,105,Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,60,-4,13,30,245,7,10,80,"

[Verse 1: Sia]
You shout it out, but I can't hear a word you say
I'm talking loud, not saying much
I'm criticized, but all your bullets ricochet
You shoot me down, but I get up

[Pre-Chorus: Sia]
I'm bulletproof, nothing to lose
Fire away, fire away
Ricochet, you take your aim
Fire away, fire away

[Chorus: Sia]
You shoot me down, but I won't fall
I am titanium
You shoot me down, but I won't fall
I am titanium

[Verse 2: Sia]
Cut me down, but it's you who'll have further to fall
Ghost town and haunted love
Raise your voice, sticks and stones may break my bones
I'm talking loud, not saying much

[Pre-Chorus: Sia]
I'm bulletproof, nothing to lose
Fire away, fire away
Ricochet, you take your aim
Fire away, fire away

[Chorus: Sia]
You shoot me down, but I won't fall
I am titanium
You shoot me down, but I won't fall
I am titanium
I am titanium
I am titanium

[Bridge: Sia]
Stone hard, machine gun
Fired at the ones who run
Stone hard, as bulletproof glass

[Chorus: Sia]
You shoot me down, but I won't fall
I am titanium
You shoot me down, but I won't fall
I am titanium
You shoot me down, but I won't fall
I am titanium
You shoot me down, but I won't fall
I am titanium
I am titanium

"
105,106,Locked Out of Heaven,Bruno Mars,pop,2012,144,70,73,-4,31,87,233,5,4,79,"

[Intro]
(One, two, one, two, three)
Aw, yeah yeah
Aw, yeah yeah yeah yeah, ooh!
Aw, yeah yeah
Aw, yeah yeah yeah yeah, ooh!

[Verse 1]
Never had much faith in love or miracles
Never wanna put my heart on the line
But swimming in your water's something spiritual
I'm born again every time you spend the night

[Pre-Chorus]
'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah yeah yeah

[Chorus]
'Cause you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong
Yeah, you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong

[Post-Chorus]
Aw, yeah yeah yeah yeah, ooh!
Aw, yeah yeah
Aw, yeah yeah yeah yeah, ooh!

[Verse 2]
You bring me to my knees, you make me testify
You can make a sinner change his ways
Open up your gates cause I can't wait to see the light
And right there is where I wanna stay

[Pre-Chorus]
'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah yeah yeah

[Chorus]
'Cause you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong
Yeah, you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong

[Bridge]
Oh-oh-oh-oh, yeah yeah yeah
Can I just stay here?
Spend the rest of my days here?
Oh-oh-oh-oh, yeah yeah yeah
Can I just stay here?
Spend the rest of my days here?

[Chorus]
'Cause you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong
Yeah, you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong

[Outro]
Aw, yeah yeah yeah yeah, ooh!
Aw, yeah yeah
Aw, yeah yeah yeah yeah, ooh!

"
106,107,Paradise,Coldplay,permanent wave,2012,140,59,45,-7,8,20,279,5,3,79,"

[Intro]
Oo-oo-oo, oo-oo-oo, oo-oo-oo
Oo-oo-oo, oo-oo-oo, oo-oo-oo

[Verse 1]
When she was just a girl
She expected the world
But it flew away from her reach
So she ran away in her sleep
And dreamed of para-para-paradise
Para-para-paradise
Para-para-paradise
Every time she closed her eyes

[Interlude]
Oo-oo-oo, oo-oo-oo, oo-oo-oo
Oo-oo-oo, oo-oo-oo, oo-oo-oo

[Verse 2]
When she was just a girl
She expected the world
But it flew away from her reach
And the bullets catch in her teeth
Life goes on, it gets so heavy
The wheel breaks the butterfly
Every tear, a waterfall
In the night, the stormy night, she'll close her eyes
In the night, the stormy night, away she'd fly

[Chorus 1]
And dream of para-para-paradise
Para-para-paradise
Para-para-paradise
Oh-oh-oh-oh-oh-oh-oh-oh
She'd dream of para-para-paradise
Para-para-paradise
Para-para-paradise
Oh-oh-oh-oh-oh-oh-oh-oh

[Bridge]
La-la
La-la-la-la-la
La-la-la-la-la
La-la-la-la
So lying underneath those stormy skies
She'd say, ""Oh, oh-oh-oh-oh
I know the sun must set to rise""

[Chorus 2]
This could be para-para-paradise
Para-para-paradise
This could be para-para-paradise
Oh-oh-oh-oh-oh oh-oh-oh
This could be para-para-paradise
Para-para-paradise
This could be para-para-paradise
Oh-oh-oh-oh-oh oh-oh-oh

[Guitar Solo + Vocalizations]

[Chorus 2]
This could be para-para-paradise
Para-para-paradise
This could be para-para-paradise
Oh-oh-oh-oh-oh oh-oh-oh

[Outro]
Oo-oo-oo, oo-oo-oo, oo-oo-oo
Oo-oo-oo, oo-oo-oo, oo-oo-oo
Oo-oo-oo, oo-oo-oo, oo-oo-oo
Oo-oo-oo, oo-oo-oo

"
107,108,Payphone,Maroon 5,pop,2012,110,75,74,-5,29,55,231,2,4,79,"

[Chorus: Adam Levine]
I'm at a payphone, trying to call home
All of my change, I spent on you
Where have the times gone?
Baby, it's all wrong
Where are the plans we made for two?

[Verse 1: Adam Levine]
Yeah, I, I know it's hard to remember
The people we used to be
It's even harder to picture
That you're not here next to me
You say it's too late to make it
But is it too late to try?
And in our time that you wasted
All of our bridges burned down

[Pre-Chorus: Adam Levine]
I've wasted my nights
You turned out the lights
Now I'm paralyzed
Still stuck in that time when we called it love
But even the sun sets in paradise

[Chorus: Adam Levine]
I'm at a payphone, trying to call home
All of my change I spent on you
Where have the times gone? Baby, it's all wrong
Where are the plans we made for two?

[Post-Chorus: Adam Levine]
If ""happy ever after"" did exist
I would still be holding you like this
All those fairytales are full of shit
One more fucking love song, I'll be sick, oh

[Verse 2: Adam Levine]
You turned your back on tomorrow
'Cause you forgot yesterday
I gave you my love to borrow
But you just gave it away
You can't expect me to be fine
I don't expect you to care
I know I said it before
But all of our bridges burned down

[Pre-Chorus: Adam Levine]
I've wasted my nights
You turned out the lights
Now I'm paralyzed
Still stuck in that time when we called it love
But even the sun sets in paradise

[Chorus: Adam Levine]
I'm at a payphone, trying to call home
All of my change I spent on you (Whoa, whoa-oa)
Where have the times gone? Baby, it's all wrong
Where are the plans we made for two?

[Post-Chorus: Adam Levine]
If ""happy ever after"" did exist
I would still be holding you like this
And all those fairytales are full of shit
One more fucking love song, I'll be sick
Now, I'm at a payphone

[Verse 3: Wiz Khalifa]
Uh
Man, fuck that shit
I'll be out spending all this money
While you're sitting 'round wondering
Why it wasn't you who came up from nothing
Made it from the bottom
Now when you see me, I'm stuntin'
And all of my cars start with the push of a button
Telling me I changed since I blew up or whatever you call it
Switched the number to my phone so you never could call it
Don't need my name on my shirt, you can tell that I'm ballin'
Swish, what a shame, coulda got picked
Had a really good game, but you missed your last shot
So you talk about who you see at the top
Or what you could've saw, but sad to say it's over for
Phantom pulled up, valet open doors
Wished I'd go away, got what you was looking for
Now it's me who they want
So you can go take that little piece of shit with you

[Chorus: Adam Levine]
I'm at a payphone, trying to call home
All of my change I spent on you (Whoo!)
Where have the times gone? Baby, it's all wrong
Where are the plans we made for two? (For two?)

[Post-Chorus: Adam Levine]
If ""happy ever after"" did exist
I would still be holding you like this
And all these fairytales are full of shit
One more fucking love song, I'll be sick
Now, I'm at a payphone

"
108,109,What Makes You Beautiful,One Direction,boy band,2012,125,79,73,-2,6,89,200,1,7,78,"

[Verse 1: Liam]
You're insecure, don't know what for
You're turning heads when you walk through the door
Don't need makeup to cover up
Being the way that you are is enough

[Pre-Chorus: Harry]
Everyone else in the room can see it
Everyone else but you

[Chorus: All & Harry]
Baby, you light up my world like nobody else
The way that you flip your hair gets me overwhelmed
But when you smile at the ground, it ain't hard to tell
You don't know, oh, oh, you don't know you're beautiful
If only you saw what I can see
You'll understand why I want you so desperately
Right now I'm looking at you and I can't believe
You don't know, you don't know you're beautiful
That's what makes you beautiful

[Verse 2: Zayn]
So c-come on, you got it wrong
To prove I'm right, I put it in a song
I don't know why you're being shy
And turn away when I look into your eyes

[Pre-Chorus: Harry]
Everyone else in the room can see it
Everyone else but you

[Chorus: All & Harry & (Zayn)]
Baby, you light up my world like nobody else (Nobody else)
The way that you flip your hair gets me overwhelmed
But when you smile at the ground, it ain't hard to tell
You don't know, oh, oh, you don't know you're beautiful (Oh)
If only you saw what I can see
You'll understand why I want you so desperately
Right now I'm looking at you and I can't believe
You don't know, you don't know you're beautiful
That's what makes you beautiful

[Bridge: All]
Na na na na na na na na na na na na na na na
Na na na na na na na na na na na na na na na

[Breakdown: Harry]
Baby, you light up my world like nobody else
The way that you flip your hair gets me overwhelmed
But when you smile at the ground, it ain't hard to tell
You don't know, oh-oh, you don't know you're beautiful

[Chorus: All & Harry & (Zayn)]
Baby, you light up my world like nobody else
The way that you flip your hair gets me overwhelmed
But when you smile at the ground (ground), it ain't hard to tell
You don't know, oh-oh, you don't know you're beautiful (Beautiful)
If only you saw what I can see
You'll understand why I want you so desperately (Desperately)
Right now I'm looking at you and I can't believe
You don't know, oh-oh, you don't know you're beautiful
Oh-oh-oh, you don't know you're beautiful, oh-oh
That's what makes you beautiful

[Written By Savan Kotecha]

"
109,110,I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62,-7,3,68,220,0,4,77,
110,111,Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,-7,11,66,193,1,4,76,"

[Verse 1]
I threw a wish in the well
Don't ask me, I'll never tell
I looked to you as it fell
And now you're in my way
I trade my soul for a wish
Pennies and dimes for a kiss
I wasn't looking for this
But now you're in my way

[Pre-Chorus]
Your stare was holding
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?

[Chorus]
Hey, I just met you, and this is crazy
But here's my number, so call me maybe
It's hard to look right at you, baby
But here's my number, so call me maybe
Hey, I just met you, and this is crazy
But here's my number, so call me maybe
And all the other boys try to chase me
But here's my number, so call me maybe

[Verse 2]
You took your time with the call
I took no time with the fall
You gave me nothing at all
But still you're in my way
I beg and borrow and steal
At first sight and it's real
I didn't know I would feel it
But it's in my way

[Pre-Chorus]
Your stare was holding
Ripped jeans, skin was showing
Hot night, wind was blowing
Where you think you're going, baby?

[Chorus]
Hey, I just met you, and this is crazy
But here's my number, so call me maybe
It's hard to look right at you, baby
But here's my number, so call me maybe
Hey, I just met you, and this is crazy
But here's my number, so call me maybe
And all the other boys try to chase me
But here's my number, so call me maybe

[Bridge]
Before you came into my life, I missed you so bad
I missed you so bad
I missed you so, so bad
Before you came into my life, I missed you so bad
And you should know that
I missed you so, so bad

[Breakdown]
It's hard to look right at you, baby
But here's my number, so call me maybe

[Chorus]
Hey, I just met you, and this is crazy
But here's my number, so call me maybe
And all the other boys try to chase me
But here's my number, so call me maybe

[Outro]
Before you came into my life, I missed you so bad
I missed you so bad
I missed you so, so bad
Before you came into my life, I missed you so bad
And you should know that
I missed you so, so bad
So call me maybe

"
111,112,Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,68,86,-4,7,92,188,8,5,76,
112,113,Set Fire to the Rain,Adele,british soul,2012,108,68,61,-4,13,47,242,0,3,76,"

[Produced by Fraser T Smith]

[Verse 1]
I let it fall, my heart
And as it fell, you rose to claim it
It was dark, and I was over
Until you kissed my lips and you saved me
My hands, they were strong
But my knees were far too weak
To stand in your arms
Without falling to your feet

[Pre-Chorus]
But there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you'd play
You would always win, always win

[Chorus]
But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name
Your name

[Verse 2]
When I lay with you
I could stay there, close my eyes
Feel you here forever
You and me together, nothing is better

[Pre-Chorus]
'Cause there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you'd play
You would always win, always win

[Chorus]
But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name
Your name

I set fire to the rain
And I threw us into the flames
When it fell, something died
'Cause I knew that that was the last time
The last time

[Bridge]
Sometimes, I wake up by the door
That heart you caught must be waiting for you
Even now, when we're already over
I can't help myself from looking for you

[Chorus]
I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name
Your name

I set fire to the rain
And I threw us into the flames
When it fell, something died
'Cause I knew that that was the last time
The last time

[Outro]
Oh, oh, no
Let it burn
Oh, oh, oh
Let it burn
Let it burn

"
113,114,We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,63,-6,12,75,193,1,9,75,"

[Verse 1]
I remember when we broke up the first time
Saying, ""This is it, I've had enough,"" 'cause like
We hadn't seen each other in a month
When you said you needed ""space"" (what?)
Then you come around again and say
""Baby, I miss you and I swear I'm gonna change, trust me""
Remember how that lasted for a day?
I say, ""I hate you,"" we break up, you call me, ""I love you""

[Pre-Chorus 1]
Ooh-ooh-ooh-ooh-ooh
We called it off again last night, but
Ooh-ooh-ooh-ooh-ooh
This time, I'm telling you, I'm telling you

[Chorus]
We are never, ever, ever getting back together
We are never, ever, ever getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never, ever, ever, ever getting back together
Like, ever

[Verse 2]
I'm really gonna miss you picking fights
And me, falling for it, screaming that I'm right
And you, would hide away and find your peace of mind
With some indie record that's much cooler than mine

[Pre-Chorus 2]
Ooh-ooh-ooh-ooh-ooh
You called me up again tonight, but
Ooh-ooh-ooh-ooh-ooh
This time, I'm telling you, I'm telling you

[Chorus]
We are never, ever, ever getting back together
We are never, ever, ever (ever) getting back together
You go talk to your friends, talk to my friends, talk to me
(Talk to me)
But we are never, ever, ever, ever getting back together

[Post-Chorus]
Ooh-ooh-ooh-ooh-ooh (yeah)
Ooh-ooh-ooh-ooh-ooh (yeah)
Ooh-ooh-ooh-ooh-ooh (yeah)
Oh-oh-oh

[Bridge]
I used to think that we were forever, ever
And I used to say, ""Never say never""
Ugh, so he calls me up and he's like, ""I still love you""
And I'm like, ""I just- I mean, this is exhausting, you know?
Like, we are never getting back together, like, ever""

[Chorus]
We are never, ever, ever getting back together
We are never, ever, ever (ooh) getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never, ever, ever, ever getting back together

[Outro]
We (ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh, no)
Getting back together
We (ooh-ooh-ooh-ooh-ooh, oh, oh, yeah)
Getting back together
You go talk to your friends, talk to my friends, talk to me
(Talk to me)
But we are never, ever, ever, ever getting back together

"
114,115,Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56,-4,11,68,222,5,5,74,"

You know the bed feels warmer
Sleeping here alone
You know I dream in color
And do the things I want
You think you got the best of me
Think you've had the last laugh
Bet you think that everything good is gone
Think you left me broken down
Think that I'd come running back
Baby you don't know me, cause you're dead wrong
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone
What doesn't kill you makes a fighter
Footsteps even lighter
Doesn't mean I'm over cause you're gone
What doesn't kill you makes you stronger, stronger
Just me, myself and I
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone
You heard that I was starting over with someone new
They told you I was moving on, over you
You didn't think that I'd come back
I'd come back swinging
You try to break me, but you see
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone
What doesn't kill you makes a fighter
Footsteps even lighter
Doesn't mean I'm over cause you're gone
What doesn't kill you makes you stronger, stronger
Just me, myself and I
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone
Thanks to you I got a new thing started
Thanks to you I'm not the broken hearted
Thanks to you I'm finally thinking about me
You know in the end the day you left was just my beginning
In the end
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone
What doesn't kill you makes a fighter
Footsteps even lighter
Doesn't mean I'm over cause you're gone
What doesn't kill you makes you stronger, stronger
Just me, myself and I
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone
What doesn't kill you makes you stronger, stronger
Just me, myself and I
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone
(When I'm alone)

"
115,116,Try,P!nk,dance pop,2012,104,63,67,-7,9,55,248,0,3,74,"

[Intro]
Ever wonder about what he's doing
How it all turned to lies?
Sometimes I think??that it's better to never ask why

[Chorus]
Where there is desire
There is gonna be a flame
Where there is a flame
Someone's bound to get burned
But just because it burns
Doesn't mean you're gonna die
You've gotta get up and try try try
Gotta get up and try try try
You gotta get up and try try try

[Break]
Eh, eh, eh

[Verse 1]
Funny how the heart can be deceiving
More than just a couple times
Why do we fall in love so easy
Even when it's not right

[Chorus]
Where there is desire
There is gonna be a flame
Where there is a flame
Someone's bound to get burned
But just because it burns
Doesn't mean you're gonna die
You've gotta get up and try try try
Gotta get up and try try try
You gotta get up and try try try

[Verse 2]
Ever worried that it might be ruined
And does it make you wanna cry?
When you're out there doing what you're doing
Are you just getting by?
Tell me are you just getting by by by

[Chorus]
Where there is desire
There is gonna be a flame
Where there is a flame
Someone's bound to get burned
But just because it burns
Doesn't mean you're gonna die
You've gotta get up and try try try
Gotta get up and try try try
You gotta get up and try try try
Gotta get up and try try try
Gotta get up and try try try
You gotta get up and try try try
Gotta get up and try try try

[Outro]
You gotta get up and try try try
Gotta get up and try try try

"
116,117,Starships,Nicki Minaj,dance pop,2012,125,72,75,-2,25,75,211,14,8,73,"

[Intro]
RedOne
Uh

[Verse 1]
Let's go to the beach, each
Let's go get a wave
They say what they gonna say
Have a drink, clink, found the Bud Light
Bad bitches, like me, is hard to come by
The patron own, let's go get it on
The zone on, yes, I'm in the zone
Is it two, three? Leave a good tip
I'ma blow off my money and don't give two shits, oh-oh

[Pre-Chorus]
I'm on the floor, floor
I love to dance
So give me more, more
'Til I can't stand
Get on the floor, floor
Like it's your last chance
If you want more, more
Then here I am

[Chorus]
Starships, were meant to fly
Hands up, and touch the sky
Can't stop 'cause we're so high
Let's do this one more time
Starships, were meant to fly
Hands up, and touch the sky
Let's do this one last time
Can't stop...

[Post-Chorus]
We're higher than a motherfucka
We're higher than a motherfucka
We're higher than a motherfucka

[Verse 2]
Jump in my hoopty-hoopty-hoop
I own that
And I ain't payin' my rent this month
I owe that
But fuck who you want, and fuck who you like
Dancehall life, there's no end in sight
Twinkle, twinkle little star
Now everybody let me hear you say ray, ray, ray
Now spend all your money, 'cause today payday
And if you're a G, you a G-G-G
My name is Onika, you can call me Nicki

[Pre-Chorus]
Get on the floor, floor
Like it's your last chance
If you want more, more
Then here I am

[Chorus]
Starships, were meant to fly
Hands up, and touch the sky
Can't stop 'cause we're so high
Let's do this one more time
Starships, were meant to fly
Hands up, and touch the sky
Let's do this one last time
Can't stop...

[Post-Chorus]
We're higher than a motherfucka
We're higher than a motherfucka
We're higher than a motherfucka

[Chorus]
Starships, were meant to fly
Hands up, and touch the sky
Can't stop 'cause we're so high
Let's do this one more time
Starships, were meant to fly
Hands up, and touch the sky
Let's do this one last time
Can't stop...

[Post-Chorus]
We're higher than a motherfucka
We're higher than a motherfucka
We're higher than a motherfucka

"
117,118,One More Night,Maroon 5,pop,2012,93,82,72,-3,8,62,220,6,3,73,"

[Intro]
Ooh, ooh ooh ooh, ooh ooh, ooh ooh
Ooh, ooh ooh ooh, ooh ooh, ooh ooh

[Verse 1]
You and I go hard at each other like we're going to war
You and I go rough, we keep throwing things and slamming the doors
You and I get so damn dysfunctional, we stopped keeping score
You and I get sick, yeah, I know that we can't do this no more

[Pre-Chorus]
Yeah but baby, there you go again, there you go again, making me love you
Yeah, I stopped using my head, using my head
Let it all go
Got you stuck on my body, on my body like a tattoo
And now I'm feeling stupid, feeling stupid crawling back to you

[Chorus]
So I cross my heart, and I hope to die
That I'll only stay with you one more night
And I know I've said it a million times
But I'll only stay with you one more night

[Verse 2]
Try to tell you ""no"", but my body keeps on telling you ""yes""
Try to tell you ""stop"", but your lipstick got me so out of breath
I'll be waking up in the morning, probably hating myself
And I'll be waking up, feeling satisfied, but guilty as hell

[Pre-Chorus]
Yeah but baby, there you go again, there you go again, making me love you (Making me love you)
Yeah, I stopped using my head, using my head
Let it all go (Let it all go)
Got you stuck on my body, on my body like a tattoo (Like a tattoo, yeah)
And now I'm feeling stupid, feeling stupid crawling back to you

[Chorus]
So I cross my heart, and I hope to die (yeah)
That I'll only stay with you one more night (oh)
And I know I've said it a million times (yeah)
But I'll only stay with you one more night (yeah)

[Bridge]
(Ooh, ooh ooh ooh, ooh ooh, ooh ooh)
Yeah, baby, give me one more night
(Ooh, ooh ooh ooh, ooh ooh, ooh ooh)
Yeah, baby, give me one more night (whoa, yeah)
(Ooh, ooh ooh ooh, ooh ooh, ooh ooh)
Yeah, baby, give me one more night
Oh yeah yeah

[Pre-Chorus]
But baby, there you go again, there you go again, making me love you
Yeah, I stopped using my head, using my head
Let it all go
Got you stuck on my body, on my body like a tattoo, yeah, yeah, yeah, yeah

[Chorus]
So I cross my heart, and I hope to die
(Oh oh oh oh, oh oh oh oh)
That I'll only stay with you one more night
(Oh oh oh oh oh oh)
And I know I've said it a million times
(Oh, I've said it a million times)
But I'll only stay with you one more night
(Yeah, baby, give me one more night)
So I cross my heart and I hope to die (yeah, yeah)
That I'll only stay with you one more night (yeah, yeah)
And I know I've said it a million times (yeah, yeah)
But I'll only stay with you one more night (yeah, yeah)

"
118,119,Good Time,Owl City,pop,2012,126,87,56,-4,37,68,206,2,14,73,"

[Intro: Adam Young & Carly Rae Jepsen]
Hmm-mmm-mmm
Whoa-oh-oh-oh
It's always a good time
Whoa-oh-oh-oh
It's always a good time

[Verse 1: Adam Young & (Carly Rae Jepsen)]
Woke up on the right side of the bed
What's up with this Prince song inside my head?
Hands up, if you're down to get down tonight (Hmm-mmm-mmm)
'Cause it's always a good time
Slept in all my clothes, like I didn't care
Hopped into a cab, take me anywhere
I'm in if you're down to get down tonight
'Cause it's always a good time

[Pre-Chorus: Adam Young & Carly Rae Jepsen, Both]
Good morning and goodnight
I wake up at twilight
It's gonna be alright
We don't even have to try, it's always a good time (Woo!)

[Chorus: Adam Young & Carly Rae Jepsen, Both]
Whoa-oh-oh-oh, whoa-oh-oh
It's always a good time
Whoa-oh-oh-oh
We don't even have to try, it's always a good time
(Good time, good time, it's always a good time)
(Whoa-oh-oh-oh)

[Verse 2: Carly Rae Jepsen]
Freaked out, dropped my phone in the pool again
Checked out of my room, hit the ATM
Let's hang out, if you're down to get down tonight
'Cause it's always a good time

[Pre-Chorus: Adam Young & Carly Rae Jepsen, Both]
Good morning and goodnight
I wake up at twilight
It's gonna be alright
We don't even have to try, it's always a good time (Woo!)

[Chorus: Adam Young & Carly Rae Jepsen]
Whoa-oh-oh-oh, whoa-oh-oh
It's always a good time
Whoa-oh-oh-oh
We don't even have to try, it's always a good time
Whoa-oh-oh-oh, whoa-oh-oh
It's always a good time
Whoa-oh-oh-oh
We don't even have to try, it's always a good time

[Bridge: Adam Young & Carly Rae Jepsen, (Minneapolis Youth Chorus)]
Doesn't matter when
It's always a good time then
Doesn't matter where
It's always a good time there
Doesn't matter when
It's always a good time then
(It's always a good time!)

[Chorus: Adam Young & Carly Rae Jepsen]
Whoa-oh-oh-oh, whoa-oh-oh
It's always a good time
Whoa-oh-oh-oh
We don't even have to try, it's always a good time
Whoa-oh-oh-oh (Doesn't matter where), whoa-oh-oh
It's always a good time
Whoa-oh-oh-oh (Doesn't matter where)
We don't even have to try, it's always a good time

[Outro: Minneapolis Youth Chorus]
Whoa-oh-oh-oh
Whoa-oh-oh
It's always a good time
Whoa-oh-oh-oh

"
